SQL,database,question
"SELECT highest_elevation FROM highlow WHERE state_name  =  ""delaware"";",geo,"how high is the highest point of delaware
"
"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",student_assessment,"How many students attend course English?
"
SELECT name FROM people ORDER BY date_of_birth,candidate_poll,"List all people names in the order of their date of birth from old to young.
"
"SELECT t2.house_number  ,  t1.name FROM restaurant AS t1 JOIN LOCATION AS t2 ON t1.id  =  t2.restaurant_id WHERE t2.city_name  =  ""san francisco"" AND t1.food_type  =  ""french"" AND t1.rating  =  ( SELECT MAX ( t1.rating ) FROM restaurant AS t1 JOIN LOCATION AS t2 ON t1.id  =  t2.restaurant_id WHERE t2.city_name  =  ""san francisco"" AND t1.food_type  =  ""french"" );",restaurants,"What is the best place in san francisco for french food ?
"
"SELECT DISTINCT t2.paperid FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""oren etzioni"" ORDER BY t3.year DESC;",scholar,"What are the latest papers by oren etzioni ?
"
SELECT count(DISTINCT FDA_approved) FROM medicine,medicine_enzyme_interaction,"How many different FDA approval statuses exist for medicines?
"
"SELECT river_name FROM river WHERE traverse  =  ""illinois"";",geo,"name all the rivers in illinois
"
"SELECT count(*) ,  T1.product_name FROM product AS T1 JOIN problems AS T2 ON T1.product_id = T2.product_id GROUP BY T1.product_name ORDER BY count(*) DESC LIMIT 1",tracking_software_problems,"How many problems does the product with the most problems have? List the number of the problems and product name.
"
"SELECT Reign ,  Days_held FROM wrestler",wrestler,"What are the reigns and days held of all wrestlers?
"
"SELECT highest_elevation FROM highlow WHERE highest_point  =  ""guadalupe peak"";",geo,"how high is guadalupe peak
"
SELECT * FROM employees WHERE hire_date  >  '1987-09-07',hr_1,"display those employees who joined after 7th September, 1987.
"
"SELECT sum(number_deaths) ,  sum(damage_millions_USD) FROM storm WHERE max_speed  >  (SELECT avg(max_speed) FROM storm)",storm_record,"Return the total number of deaths and total damange in millions for storms that had a max speed greater than the average.
"
SELECT DISTINCT title FROM Movie EXCEPT SELECT T2.title FROM Rating AS T1 JOIN Movie AS T2 ON T1.mID  =  T2.mID JOIN Reviewer AS T3 ON T1.rID  =  T3.rID WHERE T3.name  =  'Chris Jackson',movie_1,"Find the titles of all movies not reviewed by Chris Jackson.
"
"SELECT DISTINCT t1.authorid FROM venue AS t3 JOIN paper AS t2 ON t3.venueid  =  t2.venueid JOIN writes AS t1 ON t1.paperid  =  t2.paperid WHERE t3.venuename  =  ""NIPS"";",scholar,"who has papers at NIPS ?
"
SELECT name FROM physician WHERE POSITION LIKE '%senior%',hospital_1,"What are the names of the physicians who have 'senior' in their titles.
"
SELECT count(DISTINCT SOURCE) FROM injury_accident,game_injury,"How many different kinds of information sources are there for injury accidents?
"
"SELECT name FROM station WHERE city  =  ""Palo Alto"" EXCEPT SELECT end_station_name FROM trip GROUP BY end_station_name HAVING count(*)  >  100",bike_1,"What are the names of stations that are located in Palo Alto city but have never been the ending point of trips more than 100 times?
"
"SELECT t1.neighbourhood_name FROM neighbourhood AS t1 JOIN business AS t2 ON t1.business_id  =  t2.business_id WHERE t2.city  =  ""Madison"" GROUP BY t1.neighbourhood_name ORDER BY COUNT ( DISTINCT t2.name ) DESC LIMIT 1;",yelp,"which neighbourhood has the most number of businesses in Madison
"
"SELECT DISTINCT COUNT ( t1.paperid ) FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t1.year  =  2015 AND t2.venuename  =  ""nature communications"";",scholar,"How many papers was published in nature communications in 2015
"
SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state );,geo,"what is the state with the smallest area
"
SELECT headquarters FROM company EXCEPT SELECT headquarters FROM company WHERE main_industry  =  'Banking',gas_company,"Show all headquarters without a company in banking industry.
"
SELECT name FROM Person WHERE gender  =  'male' AND age  =  (SELECT min(age) FROM person WHERE gender  =  'male' ),network_2,"Who is the youngest male?
"
"SELECT DISTINCT t2.datasetid FROM paperdataset AS t3 JOIN dataset AS t2 ON t3.datasetid  =  t2.datasetid JOIN paperkeyphrase AS t1 ON t1.paperid  =  t3.paperid JOIN keyphrase AS t4 ON t1.keyphraseid  =  t4.keyphraseid WHERE t4.keyphrasename  =  ""semantic parsing"";",scholar,"datasets in semantic parsing papers
"
"SELECT decor FROM Rooms WHERE roomName  =  ""Recluse and defiance"";",inn_1,"Return the decor of the room named ""Recluse and defiance"".
"
SELECT Name FROM actor ORDER BY Name ASC,musical,"What are the names of actors, ordered alphabetically?
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid JOIN venue AS t4 ON t4.venueid  =  t3.venueid WHERE t1.keyphrasename  =  ""TAIL"" AND t4.venuename  =  ""NIPS"";",scholar,"papers on TAIL NIPS
"
SELECT name FROM Aircraft WHERE distance  >  (SELECT avg(distance) FROM Aircraft),flight_1,"What are the names of all aircrafts that can cover more distances than average?
"
SELECT DISTINCT fname FROM student,club_1,"Find each student's first name.
"
"SELECT avg(T1.salary) ,  count(*) FROM instructor AS T1 JOIN department AS T2 ON T1.dept_name  =  T2.dept_name ORDER BY T2.budget DESC LIMIT 1",college_2,"Find the number and averaged salary of all instructors who are in the department with the highest budget.
"
"SELECT T1.Store_Phone ,  T1.Store_Email_Address FROM Drama_Workshop_Groups AS T1 JOIN Services AS T2 ON T1.Workshop_Group_ID  =  T2.Workshop_Group_ID WHERE T2.Product_Name  =  ""film""",cre_Drama_Workshop_Groups,"Find the names of the workshop groups where services with product name ""film"" are performed.
"
SELECT name FROM city WHERE county_ID  =  (SELECT county_ID FROM county_public_safety ORDER BY Police_officers DESC LIMIT 1),county_public_safety,"Show the name of cities in the county that has the largest number of police officers.
"
"SELECT product_type_code ,  max(product_price) ,  min(product_price) FROM products GROUP BY product_type_code",department_store,"What are the maximum and minimum product prices for each product type?
"
"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football""",game_1,"Show student ids who are female and play football.
"
SELECT Store_Name FROM Drama_Workshop_Groups,cre_Drama_Workshop_Groups,"What are the store names of drama workshop groups?
"
"SELECT title ,  Studio FROM film WHERE Studio LIKE ""%Universal%""",film_rank,"Find the titles and studios of the films that are produced by some film studios that contained the word ""Universal"".
"
"SELECT avg(age) ,  sex FROM Student GROUP BY sex",allergy_1,"What are the average ages for male and female students?
"
"SELECT t1.product_name ,  count(*) FROM products AS t1 JOIN complaints AS t2 ON t1.product_id  =  t2.product_id GROUP BY t1.product_name",customer_complaints,"What are all the different product names, and how many complains has each received?
"
SELECT document_type_code FROM Documents GROUP BY document_type_code ORDER BY count(*) DESC LIMIT 1,cre_Docs_and_Epenses,"What is the document type code with most number of documents?
"
SELECT DISTINCT T1.LName FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.StuID  =  T2.CLASS_President_VOTE,voter_2,"What are the distinct last names of the students who have class president votes?
"
SELECT T2.Party FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID GROUP BY T1.Party ORDER BY COUNT(*) DESC LIMIT 1,election,"Which party has the largest number of delegates?
"
"SELECT T1.Builder FROM railway AS T1 JOIN train AS T2 ON T1.Railway_ID  =  T2.Railway_ID WHERE T2.Name  =  ""Andaman Exp""",railway,"Show the builder of railways associated with the trains named ""Andaman Exp"".
"
SELECT T2.Name FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID WHERE T3.Sales  >  3000,journal_committee,"Show the names of editors that are on the committee of journals with sales bigger than 3000.
"
SELECT name FROM Companies ORDER BY Market_Value_billion DESC,company_office,"Sort the company names in descending order of the company's market value.
"
"SELECT name ,  LOCATION FROM cinema ORDER BY capacity DESC LIMIT 1",cinema,"What are the name and location of the cinema with the largest capacity?
"
SELECT founded FROM university WHERE affiliation != 'Public' ORDER BY founded DESC LIMIT 1,university_basketball,"Find the founded year of the newest non public school.
"
"SELECT first_name ,  last_name ,  hire_date ,  salary ,  department_id FROM employees WHERE first_name NOT LIKE '%M%'",hr_1,"What are the full name, hire date, salary, and department id for employees without the letter M in their first name?
"
SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,farm,"What is the total horses record for each farm, sorted ascending?
"
"SELECT city_name FROM city WHERE population  =  ( SELECT MAX ( population ) FROM city WHERE state_name  =  ""wyoming"" ) AND state_name  =  ""wyoming"";",geo,"where is the most populated area of wyoming
"
"SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",student_assessment,"List the id of students who registered some courses and the number of their registered courses?
"
"SELECT rank ,  Fname ,  Lname FROM Faculty",activity_1,"What are the rank, first name, and last name of the faculty members?
"
"SELECT count(*) ,  class_room FROM CLASS GROUP BY class_room HAVING count(*)  >=  2",college_1,"Find the number of classes offered for all class rooms that held at least 2 classes.
"
SELECT DISTINCT Winery FROM WINE WHERE Price BETWEEN 50 AND 100,wine_1,"Find the distinct winery of wines having price between 50 and 100.
"
SELECT state_name FROM state;,geo,"what are the states
"
SELECT * FROM people,candidate_poll,"List all info about all people.
"
"SELECT COUNT ( t3.paperid ) FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""ras bodik"";",scholar,"does ras bodik publish a lot ?
"
SELECT TYPE FROM ship GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1,ship_mission,"What is the most common type of ships?
"
"SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  ""Boeing 737-800"" INTERSECT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  ""Airbus A340-300""",flight_1,"Show names for all employees who have certificates on both Boeing 737-800 and Airbus A340-300.
"
"SELECT release_year FROM movie WHERE title  =  ""The Imitation Game"";",imdb,"What year is the movie "" The Imitation Game "" from ?
"
"SELECT DISTINCT t2.datasetid  ,  t4.year FROM paperdataset AS t3 JOIN dataset AS t2 ON t3.datasetid  =  t2.datasetid JOIN paperkeyphrase AS t1 ON t1.paperid  =  t3.paperid JOIN paper AS t4 ON t4.paperid  =  t3.paperid JOIN keyphrase AS t5 ON t1.keyphraseid  =  t5.keyphraseid WHERE t5.keyphrasename  =  ""deep learning"" ORDER BY t4.year ASC;",scholar,"what year was the first deep learning paper published ?
"
SELECT Carrier FROM phone WHERE Memory_in_G  <  32 INTERSECT SELECT Carrier FROM phone WHERE Memory_in_G  >  64,phone_market,"Show the carriers that have both phones with memory smaller than 32 and phones with memory bigger than 64.
"
"SELECT Player_name ,  residence FROM player WHERE Occupation != ""Researcher""",riding_club,"List the name and residence for players whose occupation is not ""Researcher"".
"
SELECT t2.title FROM authorship AS t1 JOIN papers AS t2 ON t1.paperid  =  t2.paperid WHERE t1.authorder  =  (SELECT max(authorder) FROM authorship),icfp_1,"Which paper has the most authors? Give me the paper title.
"
SELECT count(*) FROM park WHERE state  =  'NY';,baseball_1,"How many parks are there in the state of NY?
"
SELECT avg(Profits_billion) FROM Companies,company_office,"Compute the average profits companies make.
"
"SELECT t2.house_number  ,  t1.name FROM restaurant AS t1 JOIN LOCATION AS t2 ON t1.id  =  t2.restaurant_id WHERE t2.city_name  =  ""alameda"";",restaurants,"give me a restaurant in alameda ?
"
"SELECT T2.Fname ,  T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID ORDER BY count(*) DESC LIMIT 1",game_1,"What is the first name and last name of the student who have most number of sports?
"
SELECT count(*) FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id WHERE T2.country  =  'Australia',sakila_1,"How many cities are in Australia?
"
"SELECT Kids FROM Reservations WHERE CheckIn  =  ""2010-09-21"" AND FirstName  =  ""DAMIEN"" AND LastName  =  ""TRACHSEL"";",inn_1,"How many kids stay in the room DAMIEN TRACHSEL checked in on Sep 21, 2010?
"
"SELECT DISTINCT COUNT ( t1.paperid ) FROM venue AS t2 JOIN paper AS t1 ON t2.venueid  =  t1.venueid WHERE t1.year  =  2015 AND t2.venuename  =  ""nature communications"";",scholar,"How many papers were published in nature communications 2015 conference ?
"
"SELECT date_of_birth FROM Staff WHERE first_name = ""Janessa"" AND last_name = ""Sawayn"";",driving_school,"What is the date of birth for the staff member named Janessa Sawayn?
"
"SELECT ResName , Rating FROM Restaurant ORDER BY Rating DESC LIMIT 1;",restaurant_1,"Which restaurants have highest rating? List the restaurant name and its rating.
"
"SELECT T2.dept_store_id ,  T2.store_name FROM departments AS T1 JOIN department_stores AS T2 ON T1.dept_store_id  =  T2.dept_store_id WHERE T1.department_name  =  ""marketing"" INTERSECT SELECT T2.dept_store_id ,  T2.store_name FROM departments AS T1 JOIN department_stores AS T2 ON T1.dept_store_id  =  T2.dept_store_id WHERE T1.department_name  =  ""managing""",department_store,"What are the ids and names of department stores with both marketing and managing departments?
"
"SELECT t1.name ,  t1.sex ,  min(oppose_rate) FROM people AS t1 JOIN candidate AS t2 ON t1.people_id  =  t2.people_id GROUP BY t1.sex",candidate_poll,"Find the name of the candidates whose oppose percentage is the lowest for each sex.
"
SELECT campus FROM campuses WHERE YEAR  =  1958,csu_1,"What are the campuses that opened in 1958?
"
SELECT country FROM airport GROUP BY country HAVING count(*)  >  2,flight_company,"which countries have more than 2 airports?
"
"SELECT DISTINCT COUNT ( t3.paperid ) FROM venue AS t4 JOIN paper AS t3 ON t4.venueid  =  t3.venueid JOIN writes AS t2 ON t2.paperid  =  t3.paperid JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""David M. Blei"" AND t4.venuename  =  ""AISTATS"";",scholar,"How many papers does David M. Blei have in AISTATS
"
SELECT DISTINCT Theme FROM journal,journal_committee,"Show the distinct themes of journals.
"
SELECT highest_point FROM highlow;,geo,"what are the highest points of all the states
"
SELECT member_name FROM member EXCEPT SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id,party_people,"Show all member names who are not in charge of any event.
"
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",student_assessment,"What are the ids of the students who attended courses in the statistics department in order of attendance date.
"
SELECT DISTINCT Visit_Date FROM VISITS,cre_Theme_park,"Find all the distinct visit dates.
"
SELECT river_name FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );,geo,"which is the longest river in usa
"
SELECT country FROM stadium GROUP BY country ORDER BY count(*) DESC LIMIT 1,swimming,"Find the country that has the most stadiums.
"
"SELECT t1.name FROM publication AS t4 JOIN conference AS t2 ON t4.cid  =  t2.cid JOIN writes AS t3 ON t3.pid  =  t4.pid JOIN author AS t1 ON t3.aid  =  t1.aid WHERE t2.name  =  ""VLDB"" AND t4.year  <  2002;",academic,"return me the authors who have papers in VLDB conference before 2002 .
"
"SELECT count(*) FROM products AS t1 JOIN product_characteristics AS t2 ON t1.product_id  =  t2.product_id JOIN CHARACTERISTICS AS t3 ON t2.characteristic_id  =  t3.characteristic_id JOIN ref_colors AS t4 ON t1.color_code  =  t4.color_code WHERE t4.color_description  =  ""red"" AND t3.characteristic_name  =  ""slow""",products_gen_characteristics,"Find the number of the products that have their color described as ""red"" and have a characteristic named ""slow"".
"
SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river );,geo,"what are the states through which the longest river runs
"
SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 EXCEPT SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010,college_2,"Find courses that ran in Fall 2009 but not in Spring 2010.
"
SELECT cust_name FROM customer WHERE acc_type  =  'saving' INTERSECT SELECT cust_name FROM customer WHERE acc_type  =  'checking',loan_1,"What are the names of customers who have both savings and checking accounts?
"
"SELECT DISTINCT t3.paperid FROM venue AS t4 JOIN paper AS t3 ON t4.venueid  =  t3.venueid JOIN writes AS t2 ON t2.paperid  =  t3.paperid JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""Richard Ladner"" AND t4.venuename  =  ""chi"";",scholar,"what paper has Richard Ladner published in chi journal ?
"
SELECT document_type_code FROM documents GROUP BY document_type_code HAVING count(*)  >  4,document_management,"What are the codes of types of documents of which there are for or more?
"
"SELECT count(*) FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t3.age  <  18",club_1,"How many members of club ""Bootup Baltimore"" are younger than 18?
"
SELECT class_code FROM CLASS WHERE class_room  =  'KLR209',college_1,"List the codes of all courses that take place in room KLR209.
"
"SELECT name FROM procedures WHERE cost  >  1000 EXCEPT SELECT T3.name FROM physician AS T1 JOIN trained_in AS T2 ON T1.employeeid  =  T2.physician JOIN procedures AS T3 ON T3.code  =  T2.treatment WHERE T1.name  =  ""John Wen""",hospital_1,"Find the names of all procedures which cost more than 1000 but which physician John Wen was not trained in?
"
SELECT DISTINCT Destruction_Authorised_by_Employee_ID FROM Documents_to_be_destroyed,cre_Doc_Tracking_DB,"Show the ids of all employees who have authorized destruction.
"
"SELECT population FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );",geo,"what are the populations of the states through which the mississippi river run
"
"SELECT T1.name ,  T2.alid FROM airlines AS T1 JOIN routes AS T2 ON T1.alid  =  T2.alid GROUP BY T2.alid ORDER BY count(*) DESC LIMIT 10",flight_4,"Find the names of the top 10 airlines that operate the most number of routes.
"
SELECT count(DISTINCT OWNER) FROM channel,program_share,"what is the number of different channel owners?
"
"SELECT DISTINCT t3.paperid  ,  t3.year FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""deep learning"" ORDER BY t3.year DESC;",scholar,"What are the latest publications on deep learning ?
"
"SELECT first_name ,  last_name ,  salary FROM  employees WHERE commission_pct  =  ""null""",hr_1,"Return the full names and salaries of employees with null commissions.
"
SELECT DISTINCT product_name FROM product ORDER BY product_id,tracking_software_problems,"List all the distinct product names ordered by product id?
"
"SELECT T1.emp_lname ,  T1.emp_hiredate FROM employee AS T1 JOIN professor AS T2 ON T1.emp_num  =  T2.emp_num WHERE T2.prof_office  =  'DRE 102'",college_1,"What is the last name of the professor whose office is located in DRE 102, and when were they hired?
"
"SELECT T1.part_name ,  count(*) FROM Parts AS T1 JOIN Asset_Parts AS T2 ON T1.part_id  =  T2.part_id GROUP BY T1.part_name",assets_maintenance,"How many assets can each parts be used in? List the part name and the number.
"
"SELECT DISTINCT t2.datasetid FROM paperdataset AS t3 JOIN dataset AS t2 ON t3.datasetid  =  t2.datasetid JOIN paperkeyphrase AS t1 ON t1.paperid  =  t3.paperid JOIN keyphrase AS t4 ON t1.keyphraseid  =  t4.keyphraseid WHERE t4.keyphrasename  =  ""semantic parsing"";",scholar,"list datasets for semantic parsing
"
"SELECT cust_name ,  acc_type ,  acc_bal FROM customer ORDER BY credit_score DESC LIMIT 1",loan_1,"Find the name, account type, and account balance of the customer who has the highest credit score.
"
"SELECT other_hotel_details ,  star_rating_code FROM HOTELS ORDER BY price_range ASC LIMIT 3",cre_Theme_park,"Show the details and star ratings of the 3 least expensive hotels.
"
SELECT avg(International_Passengers) FROM airport,aircraft,"What is the average number of international passengers for an airport?
"
"SELECT course_description FROM COURSES WHERE course_name  =  ""database""",e_learning,"What are the descriptions of the courses with name ""database""?
"
SELECT Headquarters FROM Companies GROUP BY Headquarters HAVING COUNT(*)  >  2,company_office,"Show the headquarters shared by more than two companies.
"
"SELECT Date_Claim_Made ,  Date_Claim_Settled FROM Settlements",insurance_policies,"Tell me the the claim date and settlement date for each settlement case.
"
SELECT ResName FROM Restaurant;,restaurant_1,"Show me all the restaurants.
"
SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_visibility_miles)  <  10,bike_1,"For each zip code, select all those that have an average mean visiblity below 10.
"
"SELECT t2.year  ,  SUM ( t2.citation_num ) FROM publication AS t2 JOIN conference AS t1 ON t2.cid  =  t1.cid WHERE t1.name  =  ""VLDB"" GROUP BY t2.year;",academic,"return me the total citations of papers in the VLDB conference in each year .
"
SELECT count(*) FROM Rooms;,inn_1,"How many rooms are there?
"
SELECT T2.Building FROM COURSE AS T1 JOIN FACULTY AS T2 ON T1.Instructor  =  T2.FacID GROUP BY T1.Instructor ORDER BY count(*) DESC LIMIT 1,college_3,"Give the building that the instructor who teaches the greatest number of courses lives in.
"
SELECT product_id FROM Order_Items GROUP BY product_id HAVING count(*)  >  3 UNION SELECT product_id FROM Product_Suppliers GROUP BY product_id HAVING sum(total_amount_purchased)  >  80000,department_store,"What are the ids of all products that were either ordered more than 3 times or have a cumulative amount purchased of above 80000?
"
"SELECT T2.name ,  avg(T1.stars) FROM Rating AS T1 JOIN Reviewer AS T2 ON T1.rID  =  T2.rID GROUP BY T2.name",movie_1,"What is the average rating star for each reviewer?
"
"SELECT T2.firstname ,  T2.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom GROUP BY T2.firstname ,  T2.lastname ORDER BY count(*) DESC LIMIT 1",student_1,"Which teacher teaches the most students? Give me the first name and last name of the teacher.
"
"SELECT t3.fname ,  t3.lname FROM club AS t1 JOIN member_of_club AS t2 ON t1.clubid  =  t2.clubid JOIN student AS t3 ON t2.stuid  =  t3.stuid WHERE t1.clubname  =  ""Bootup Baltimore"" AND t2.position  =  ""President""",club_1,"Who is the president of the club ""Bootup Baltimore""? Give me the first and last name.
"
SELECT count(DISTINCT last_name) FROM actor,sakila_1,"Count the number of different last names actors have.
"
"SELECT name FROM actor WHERE nationality  =  ""Afghanistan"";",imdb,"Find all actors who are from Afghanistan
"
"SELECT policy_type_code FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id WHERE t2.customer_details  =  ""Dayana Robel""",insurance_and_eClaims,"What are the type codes of the policies used by the customer ""Dayana Robel""?
"
SELECT avg(campusfee) FROM csu_fees WHERE YEAR  =  1996,csu_1,"What is the average fee for a CSU campus in the year of 1996?
"
"SELECT T2.Delegate ,  T1.County_name FROM county AS T1 JOIN election AS T2 ON T1.County_id  =  T2.District",election,"What are the delegate and name of the county they belong to, for each county?
"
"SELECT t1.city FROM category AS t2 JOIN business AS t1 ON t2.business_id  =  t1.business_id WHERE t1.name  =  ""MGM Grand Buffet"" AND t1.state  =  ""Texas"" AND t2.category_name  =  ""restaurant"";",yelp,"Find all cities in Texas in which there is a restaurant called "" MGM Grand Buffet ""
"
"SELECT T2.date_moved_in ,  T1.customer_id ,  T1.customer_details FROM Customers AS T1 JOIN Customer_Events AS T2 ON T1.customer_id  =  T2.customer_id",local_govt_and_lot,"What is each customer's move in date, and the corresponding customer id and details?
"
SELECT Winery FROM WINE GROUP BY Winery HAVING count(*)  >=  4,wine_1,"Which wineries produce at least four wines?
"
"SELECT DISTINCT COUNT ( t4.citedpaperid ) FROM paper AS t3 JOIN cite AS t4 ON t3.paperid  =  t4.citedpaperid JOIN writes AS t2 ON t2.paperid  =  t3.paperid JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""noah a smith"";",scholar,"how many citations does noah a smith have ?
"
SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,game_1,"Show all advisors who have at least two students.
"
"SELECT population FROM state WHERE state_name  =  ""california"";",geo,"how many people reside in california
"
SELECT count(*) FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id WHERE T2.country  =  'Australia',sakila_1,"Count the number of cities in Australia.
"
SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 ),formula_1,"How many drivers did not race in 2009?
"
"SELECT LENGTH ,  Height FROM roller_coaster",roller_coaster,"What are the lengths and heights of roller coasters?
"
SELECT T1.County FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.Appelation  =  T2.Appelation WHERE T2.Score  >  90 GROUP BY T1.County ORDER BY count(*) DESC LIMIT 1,wine_1,"Find the county where produces the most number of wines with score higher than 90.
"
SELECT T1.LastName FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  <=  20,chinook_1,"Please show the employee last names that serves no more than 20 customers.
"
"SELECT product_type_code ,  avg(product_price) FROM products GROUP BY product_type_code",department_store,"Return the average price for each product type.
"
"SELECT sum(gamesplayed) FROM Sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'",game_1,"How many games are played for all football games by students on scholarship?
"
"SELECT document_id ,  document_name FROM Documents",cre_Docs_and_Epenses,"Show the ids and names of all documents.
"
SELECT T3.amenity_name FROM dorm AS T1 JOIN has_amenity AS T2 ON T1.dormid  =  T2.dormid JOIN dorm_amenity AS T3 ON T2.amenid  =  T3.amenid JOIN lives_in AS T4 ON T4.dormid  =  T1.dormid JOIN student AS T5 ON T5.stuid  =  T4.stuid WHERE T5.lname  =  'Smith',dorm_1,"What are the amenities in the dorm that a student who has the last name of Smith lives in?
"
"SELECT T1.firstname ,  T1.lastname FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T2.firstname  =  ""OTHA"" AND T2.lastname  =  ""MOYER""",student_1,"Find all students taught by OTHA MOYER. Output the first and last names of the students.
"
SELECT T1.response_received_date FROM Documents AS T1 JOIN Document_Types AS T2 ON T1.document_type_code  =  T2.document_type_code JOIN Grants AS T3 ON T1.grant_id  =  T3.grant_id WHERE T2.document_description  =  'Regular' OR T3.grant_amount  >  100,tracking_grants_for_research,"What is the response received date for the document described as Regular that was granted more than 100 dollars?
"
"SELECT building FROM Faculty WHERE rank  =  ""Professor"" GROUP BY building HAVING count(*)  >=  10",activity_1,"Show all the buildings that have at least 10 professors.
"
SELECT T2.Name FROM body_builder AS T1 JOIN people AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Total  >  300,body_builder,"What are the names of body builders whose total score is higher than 300?
"
SELECT policy_type_code FROM policies GROUP BY policy_type_code ORDER BY count(*) DESC LIMIT 1,insurance_and_eClaims,"Which type of policy is most frequently used? Give me the policy type code.
"
"SELECT T1.thing_id ,  T1.type_of_Thing_Code ,  T2.organization_details FROM Things AS T1 JOIN Organizations AS T2 ON T1.organization_id  =  T2.organization_id",local_govt_and_lot,"List the id and type of each thing, and the details of the organization that owns it.
"
"SELECT COUNT ( DISTINCT t4.title ) FROM publication_keyword AS t3 JOIN keyword AS t1 ON t3.kid  =  t1.kid JOIN publication AS t4 ON t4.pid  =  t3.pid JOIN conference AS t2 ON t4.cid  =  t2.cid WHERE t2.name  =  ""VLDB"" AND t1.keyword  =  ""Information Retrieval"";",academic,"return me the number of papers in VLDB conference containing keyword "" Information Retrieval "" .
"
SELECT count(*) FROM student,club_1,"How many students are there?
"
